key,name,gender,birthdate,deathdate
Q11261339,오상순,m,18940101,19630603
Q11261360,오수용,m,19440101,
Q11261612,오인성,m,19651104,
Q11261618,오일정,m,19540101,
Q11261633,오정복,m,19861013,
Q11261663,오지영,f,19880711,
Q11262048,온소진,m,19861002,
Q11263358,우정신,f,19700219,
Q11263813,원혜영,m,19510927,
Q11264379,유동훈,m,19770212,
Q11264596,유승진,m,19690120,
Q11264690,유일한,m,18950115,19710311
Q11264692,유재웅,m,19790520,
Q11264730,유지현,m,19710525,
Q11264742,유진오,m,19060513,19870830
Q11264817,유하,m,19630209,
Q11264843,유해준,m,19680101,
Q11264845,유해진,m,19700104,
Q11264926,윤규진,m,19840728,
Q11264928,윤길중,m,19160814,20011011
Q11264932,윤길현,m,19830923,
Q11264946,윤미나,f,19720923,
Q11264948,윤미라,f,19511218,
Q11264978,윤성현,m,19750630,
Q11264980,윤성혜,f,19700225,
Q11264989,윤요섭,m,19820330,
Q11265006,윤제균,m,19690514,
Q11265008,윤종남,m,19480812,
Q11265997,리상조,m,19150101,19960101
Q11266025,이상훈 (1973년),m,19731202,
Q11266137,이순자,f,19390324,
Q11266309,이어령,m,19340115,
Q11266502,이윤형,f,19790426,20051118
Q11266911,이태영,f,19140810,19981216
Q11267083,이희호,f,19220921,20190610
Q11268002,임춘추,m,19120308,19880427
Q11268793,장병규,m,19200101,
Q11269982,정명학,m,19500101,
Q11271075,조병주,m,19421201,
Q11285936,허봉학,m,,
Q11286019,허준호,m,19640414,
Q11286457,현정은,f,19550126,
Q11317852,최원영,m,19760110,
Q11317857,Q11317857,,,
Q11318498,Q11318498,f,19810101,
Q1133447,양성국,m,19440819,
Q1133556,리동운,m,19450704,
Q11343022,민준호,m,19680512,
Q1134357,박철민,m,19881210,
Q11346187,영민,m,19950424,
Q11348705,Ri Ji Hyang,f,19950526,
Q113542,최홍만,m,19801030,
Q113840,프란체스카 도너,f,19000615,19920319
Q1138491,임성휘,m,19460203,
Q1140284,크리스티안 둘카,m,19721025,
Q11410142,Q11410142,m,19710612,
Q1143714,이하라 쓰요시,m,19631106,
Q11450760,안명진,,19680101,
Q11464852,윤공흠,,19130518,19740101
Q11464856,윤명찬,m,19490101,20171208
Q1146912,오순택,m,19320629,20180404
Q11477158,Q11477158,,19600101,
Q11477167,최 은순,f,,
Q11477189,최영,m,19780412,
Q114827,김동원,m,19650101,
Q11485240,윤다훈,m,19641230,
Q11485471,노리코 히로하시,f,19070427,19850825
Q11488677,So Chol,m,19070101,19920101
Q1149192,김다솔,m,19890101,
Q1150848,박종훈,m,19650506,
Q11522414,Ri Seong-sil,f,19160101,20000801
Q11522466,Kyongsa Ri,m,19810826,
Q11522476,이창수,m,19670712,
Q11522502,리청경,m,19581111,
Q1153263,이상준,m,19921113,
Q11534328,류 명옥,f,19831110,
Q11536685,계응태,m,19250225,20061123
Q11541088,양성태,m,19650224,
Q11566424,Kim Myo Shil,f,19650101,
Q1157058,"대행,",f,19270203,20120522
Q11598714,Emiko Takenaka,f,19291119,
Q11625582,성평왕후,f,,
Q116288,이문열,m,19480518,
Q11629173,최현주,f,19800704,
Q11631203,허종만,m,19350222,
Q11644701,신동주 (기업인),m,19540128,
Q11646457,김광호,m,19551209,
Q11646461,김광옥,f,,
Q11647584,Q11647584,f,,
Q11647829,김영남,m,,
Q11647943,김도만,m,,
Q11656104,Sekine Mari,f,19841022,
Q11663968,한승원,m,19391013,
Q11668115,선정왕후,f,,
Q11668163,의정왕후,f,,
Q11668218,공예왕후,f,11090101,11830101
Q1168032,김홍열,m,19850216,
Q11682535,이채원,f,19890227,
Q11689869,차용명,m,19500101,
Q11719752,Jang Ok-ju,f,19881107,
Q11727287,조연준,m,19370928,
Q11728206,Jong Un-sim,f,19920101,
Q11732843,전하철,m,19280422,
Q11734926,Kang Hye-sun,f,19841028,
Q11739225,김창섭,m,19460102,20200609
Q11739227,Kim Chol-Nam,m,19700921,
Q11739233,김히택,m,19350420,
Q11739237,김혜성,f,19930309,
Q11739245,김평해,m,19411008,
Q1174767,데이비드 호바스,m,19710528,
Q11766100,손소벽,f,18020101,18400131
Q11773664,신혜왕후,f,,09010101
Q118002,빅토르 안,m,19851123,
Q11817362,최창흡,m,17870101,18391229
Q1185429,리찬명,m,19470102,
Q1185960,신영규,m,19420330,19960318
Q1186563,이기수,m,19451230,
Q1186592,어윤대,m,19450522,
Q11866869,Jong Pok-sim,f,19850731,
Q1186827,한승주,m,19400913,
Q11871486,Kim Chang-son,m,19520411,
Q1195195,천둥,m,19901007,
Q1208809,박승진,m,19410111,20110805
Q1223537,디트마르 샤흐트,m,19620928,
Q1234482,이소희,f,19940614,
Q12344956,안우생,m,19070101,19910101
Q1241216,Kim Dong-won,m,20000101,
Q1241267,Dong Jung-lim,f,19860304,
Q1243200,Samuel Youn,m,19710101,
Q1246754,Shin Dong-hyun,m,19900225,
Q1253,반기문,m,19440613,
Q1255834,현승종,m,19190126,20200525
Q1255847,황인성,m,19290101,20101011
Q1255860,이현재,m,19291220,
Q1256793,김준형,f,19880304,
Q1256804,이한기,m,19170905,19950202
Q1256812,진의종,m,19211213,19950511
Q1257204,박경두,m,19840803,
Q12582741,강기섭,m,,20170101
Q12582787,강동근 (1916년),,19161119,20040212
Q12582817,강릉공,m,,
Q12582853,강문석,m,19060101,19550101
Q12582866,강민철,m,19480101,
Q12582969,강양공,m,,
Q12582970,강양모,,19440901,
Q12583163,강형봉,m,19570520,
Q12583598,경녕궁주,f,12000101,
Q12583609,경덕궁주,f,12000101,
Q12583807,경원공,m,,
Q12583837,경장태자,m,10000101,
Q12583935,경화궁부인,f,10000101,
Q12584017,계영삼,,,
Q12584207,고명환,m,19720418,
Q12584208,고명희,,,
Q12585346,구광모,m,19780101,
Q12585524,구자경,m,19250424,20191214
Q12586164,권태양,,,19660101
Q12586567,금진호,m,19320101,
Q12586912,김경손 (고려),m,,12510101
Q12586929,김경중,m,18630101,19450427
Q12586965,김광민,m,19620816,
Q12587068,김기중,m,18590101,19330101
Q12587236,김동이,,,
Q12587237,김동일 (조선민주주의인민공화국의 정치인),m,,
